checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.5810701854436977
10,last,f1-measure-overall,0.5791547976742782
20,last,f1-measure-overall,0.5755043339681549
40,last,f1-measure-overall,0.5753190497464588
100,last,f1-measure-overall,0.5827014126794222
200,last,f1-measure-overall,0.5912302778046159
400,last,f1-measure-overall,0.59212208063824
800,last,f1-measure-overall,0.5900344378076043
1000,last,f1-measure-overall,0.588930577966085
2000,last,f1-measure-overall,0.591991257513025
3000,last,f1-measure-overall,0.5924255202305974
4000,last,f1-measure-overall,0.6036157582298477
5000,last,f1-measure-overall,0.6058174523570216
6000,last,f1-measure-overall,0.6134375725674865
7000,last,f1-measure-overall,0.6359004392386033
8000,last,f1-measure-overall,0.6610282574567792
9000,last,f1-measure-overall,0.7620513845845748
10000,last,f1-measure-overall,0.8315264924234222
11000,last,f1-measure-overall,0.8469797290414087
12000,last,f1-measure-overall,0.8620161372688704
13000,last,f1-measure-overall,0.8713301623748886
14000,last,f1-measure-overall,0.8839276528323128
15000,last,f1-measure-overall,0.8876300339890323
16000,last,f1-measure-overall,0.8905187687996533
17000,last,f1-measure-overall,0.8923064236826416
18000,last,f1-measure-overall,0.8980493342965751
19000,last,f1-measure-overall,0.8971021965555859
20000,last,f1-measure-overall,0.8945232847932603
21000,last,f1-measure-overall,0.8976679931544481
22000,last,f1-measure-overall,0.8970500196114363
22437,last,f1-measure-overall,0.9036648998700183
44874,last,f1-measure-overall,0.9128457435812127
67311,last,f1-measure-overall,0.9170747835430244
89748,last,f1-measure-overall,0.9158778057954938
112185,last,f1-measure-overall,0.9159866966885823
134622,last,f1-measure-overall,0.9166546115852277
157059,last,f1-measure-overall,0.917364081581997
179496,last,f1-measure-overall,0.9200587104375909
201933,last,f1-measure-overall,0.9175756073375803
224370,last,f1-measure-overall,0.9177029539350875
246807,last,f1-measure-overall,0.9177807624754125
269244,last,f1-measure-overall,0.9189591385403464
291681,last,f1-measure-overall,0.9190004753735317
314118,last,f1-measure-overall,0.9199619850418904
336555,last,f1-measure-overall,0.9180727370355337
358992,last,f1-measure-overall,0.9175587319266049
381429,last,f1-measure-overall,0.917493246447891
403866,last,f1-measure-overall,0.9179705238822107
426303,last,f1-measure-overall,0.9198190194822137
448740,last,f1-measure-overall,0.9182628797885893
471177,last,f1-measure-overall,0.9199479672110338
493614,last,f1-measure-overall,0.9192482445270049
516051,last,f1-measure-overall,0.9193911481029673
538488,last,f1-measure-overall,0.9198843691925992
560925,last,f1-measure-overall,0.9188731813021893
583362,last,f1-measure-overall,0.9207233989842186
605799,last,f1-measure-overall,0.9200041309511015
628236,last,f1-measure-overall,0.9190639316521025
650673,last,f1-measure-overall,0.9199315054361903
673110,last,f1-measure-overall,0.9190326840540933
695547,last,f1-measure-overall,0.9193684862242818
717984,last,f1-measure-overall,0.9205706852765178
740421,last,f1-measure-overall,0.9206932122962157
762858,last,f1-measure-overall,0.9199149831823029
785295,last,f1-measure-overall,0.9214977591440877
807732,last,f1-measure-overall,0.9208603393468517
830169,last,f1-measure-overall,0.920999938071498
852606,last,f1-measure-overall,0.9233630183688573
875043,last,f1-measure-overall,0.9212982079444542
897480,last,f1-measure-overall,0.9221804355911392
919917,last,f1-measure-overall,0.9213742979847535
