checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7285067873303167
10,last,accuracy,0.7284089992742521
20,last,accuracy,0.7264625959079284
40,last,accuracy,0.7268450221283043
100,last,accuracy,0.7271241830065359
200,last,accuracy,0.7300410538483001
400,last,accuracy,0.7316703857188397
800,last,accuracy,0.73712942301562
1600,last,accuracy,0.7468122409945808
3200,last,accuracy,0.7691265540325152
6400,last,accuracy,0.7930745935607268
12800,last,accuracy,0.9311842524705132
20000,last,accuracy,0.943616512591648
40000,last,accuracy,0.9503108065030283
60000,last,accuracy,0.9540564233343959
80000,last,accuracy,0.9562081606630539
100000,last,accuracy,0.9578020401657634
120000,last,accuracy,0.9605514823079375
140000,last,accuracy,0.9579215811284667
160000,last,accuracy,0.9591169907554988
180000,last,accuracy,0.9576028052279247
200000,last,accuracy,0.9605913292955053
220000,last,accuracy,0.9598342365317182
240000,last,accuracy,0.9593560726809053
260000,last,accuracy,0.9589177558176601
280000,last,accuracy,0.9610296461587504
300000,last,accuracy,0.9601131654446924
320000,last,accuracy,0.9617468919349698
340000,last,accuracy,0.9617867389225374
360000,last,accuracy,0.9623047497609181
380000,last,accuracy,0.9608702582084795
400000,last,accuracy,0.9591568377430666
420000,last,accuracy,0.9620258208479439
440000,last,accuracy,0.96262352566146
460000,last,accuracy,0.9630219955371374
480000,last,accuracy,0.9632212304749761
500000,last,accuracy,0.9630219955371374
520000,last,accuracy,0.9624242907236213
540000,last,accuracy,0.9620258208479439
560000,last,accuracy,0.963380618425247
580000,last,accuracy,0.9624242907236213
600000,last,accuracy,0.9629024545744341
620000,last,accuracy,0.9637790883009244
640000,last,accuracy,0.9638189352884922
660000,last,accuracy,0.9631415364998406
680000,last,accuracy,0.9629024545744341
700000,last,accuracy,0.9622649027733503
720000,last,accuracy,0.962464137711189
740000,last,accuracy,0.9623844437360536
760000,last,accuracy,0.9615078100095633
780000,last,accuracy,0.96262352566146
800000,last,accuracy,0.9642174051641695
820000,last,accuracy,0.9631813834874083
840000,last,accuracy,0.9635001593879503
860000,last,accuracy,0.9632610774625439
880000,last,accuracy,0.9631016895122728
900000,last,accuracy,0.9623844437360536
920000,last,accuracy,0.9630618425247052
940000,last,accuracy,0.9631016895122728
960000,last,accuracy,0.9629024545744341
980000,last,accuracy,0.963380618425247
1000000,last,accuracy,0.9637790883009244
