checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7232730263157895
10,last,accuracy,0.7233174711080897
20,last,accuracy,0.7233940747238725
40,last,accuracy,0.723559416593608
100,last,accuracy,0.7250049810719267
200,last,accuracy,0.7260879961740794
400,last,accuracy,0.7272763498704922
800,last,accuracy,0.7327462543831686
1600,last,accuracy,0.7423095313994262
3200,last,accuracy,0.7635479757730316
6400,last,accuracy,0.790285304430985
12800,last,accuracy,0.9281160344277972
20000,last,accuracy,0.9415843162256934
40000,last,accuracy,0.947760599298693
60000,last,accuracy,0.9498326426522155
66694,last,accuracy,0.9507491233662735
80000,last,accuracy,0.9510280522792477
100000,last,accuracy,0.9553713739241313
120000,last,accuracy,0.9558495377749442
133388,last,accuracy,0.9564472425884604
140000,last,accuracy,0.95557060886197
160000,last,accuracy,0.9553315269365636
180000,last,accuracy,0.9576028052279247
200000,last,accuracy,0.9568855594517055
200082,last,accuracy,0.9572441823398151
220000,last,accuracy,0.9584395919668474
240000,last,accuracy,0.9578817341408989
260000,last,accuracy,0.9588380618425247
266776,last,accuracy,0.9587185208798215
280000,last,accuracy,0.959714695569015
300000,last,accuracy,0.9601131654446924
320000,last,accuracy,0.9591966847306344
340000,last,accuracy,0.9590771437679312
360000,last,accuracy,0.9604319413452344
380000,last,accuracy,0.9599537774944215
400000,last,accuracy,0.9605514823079375
420000,last,accuracy,0.9611890341090213
440000,last,accuracy,0.9601928594198279
460000,last,accuracy,0.9600334714695569
480000,last,accuracy,0.96138826904686
500000,last,accuracy,0.9605116353203698
520000,last,accuracy,0.9612288810965891
540000,last,accuracy,0.962782913611731
560000,last,accuracy,0.9615078100095633
580000,last,accuracy,0.9618664328976729
600000,last,accuracy,0.9616671979598342
620000,last,accuracy,0.9611093401338858
640000,last,accuracy,0.9606710232706407
660000,last,accuracy,0.960631176283073
680000,last,accuracy,0.9617867389225374
700000,last,accuracy,0.9611890341090213
720000,last,accuracy,0.9609101051960471
740000,last,accuracy,0.9622649027733503
760000,last,accuracy,0.9619859738603762
780000,last,accuracy,0.9625039846987568
800000,last,accuracy,0.962464137711189
820000,last,accuracy,0.9634204654128148
840000,last,accuracy,0.9617468919349698
860000,last,accuracy,0.9609101051960471
880000,last,accuracy,0.9600733184571246
900000,last,accuracy,0.9618265859101052
920000,last,accuracy,0.9617468919349698
940000,last,accuracy,0.9609499521836149
960000,last,accuracy,0.9618265859101052
980000,last,accuracy,0.9620258208479439
1000000,last,accuracy,0.9620656678355116
