checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7285067873303167
10,last,accuracy,0.726483299002383
20,last,accuracy,0.7276832094621594
40,last,accuracy,0.7264895908111989
100,last,accuracy,0.7270806760204082
200,last,accuracy,0.7307109835804241
400,last,accuracy,0.7340612049729041
800,last,accuracy,0.7473302518329614
23172,last,accuracy,0.936125278928913
46344,last,accuracy,0.9414647752629901
69516,last,accuracy,0.9410663053873127
92688,last,accuracy,0.9444931463181383
115860,last,accuracy,0.9456487089576028
139032,last,accuracy,0.9466847306343641
162204,last,accuracy,0.9464456487089576
185376,last,accuracy,0.9482786101370736
208548,last,accuracy,0.9460870258208479
231720,last,accuracy,0.9480395282116671
254892,last,accuracy,0.9474816703857188
278064,last,accuracy,0.9481989161619382
301236,last,accuracy,0.9476809053235575
324408,last,accuracy,0.9485575390500478
347580,last,accuracy,0.9484379980873446
370752,last,accuracy,0.9479598342365317
393924,last,accuracy,0.9489958559132929
417096,last,accuracy,0.9480395282116671
440268,last,accuracy,0.9509085113165445
463440,last,accuracy,0.9490357029008607
486612,last,accuracy,0.9487567739878865
509784,last,accuracy,0.951585910105196
532956,last,accuracy,0.9494341727765381
556128,last,accuracy,0.9498326426522155
579300,last,accuracy,0.9507092763787057
602472,last,accuracy,0.9501514185527574
625644,last,accuracy,0.9497131016895123
648816,last,accuracy,0.9493544788014027
671988,last,accuracy,0.9502311125278929
695160,last,accuracy,0.9485973860376156
718332,last,accuracy,0.9511475932419509
741504,last,accuracy,0.9500318775900541
764676,last,accuracy,0.9516656040803315
787848,last,accuracy,0.9516257570927638
811020,last,accuracy,0.9514663691424928
834192,last,accuracy,0.9501912655403252
857364,last,accuracy,0.9508686643289768
880536,last,accuracy,0.9521039209435767
903708,last,accuracy,0.9520242269684411
926880,last,accuracy,0.9532993305706089
950052,last,accuracy,0.9509483583041122
973224,last,accuracy,0.9527813197322282
996396,last,accuracy,0.9520242269684411
1019568,last,accuracy,0.9521039209435767
