checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.7285067873303167
10,last,accuracy,0.7261068950123778
20,last,accuracy,0.7293618384178077
40,last,accuracy,0.7268411393920051
100,last,accuracy,0.727305331951861
200,last,accuracy,0.7296963417550012
400,last,accuracy,0.7308734459674848
800,last,accuracy,0.7317899266815429
1000,last,accuracy,0.7323876314950589
2000,last,accuracy,0.743425247051323
3000,last,accuracy,0.7641855275741154
4000,last,accuracy,0.7732307937519923
5000,last,accuracy,0.7787296780363404
6000,last,accuracy,0.7884921899904367
7000,last,accuracy,0.8012033790245457
8000,last,accuracy,0.8186563595792158
9000,last,accuracy,0.873326426522155
10000,last,accuracy,0.9030124322601212
11000,last,accuracy,0.9116990755498884
12000,last,accuracy,0.9190309212623525
13000,last,accuracy,0.9225773031558814
14000,last,accuracy,0.9258049091488684
15000,last,accuracy,0.9265221549250877
16000,last,accuracy,0.9281160344277972
17000,last,accuracy,0.9292715970672617
18000,last,accuracy,0.9319413452343003
19000,last,accuracy,0.9336946126872808
20000,last,accuracy,0.9343720114759324
21000,last,accuracy,0.9346509403889066
22000,last,accuracy,0.9346907873764744
22437,last,accuracy,0.9371613006056743
44874,last,accuracy,0.9409866114121772
67311,last,accuracy,0.9423414089894804
89748,last,accuracy,0.947003506534906
112185,last,accuracy,0.9465651896716608
134622,last,accuracy,0.9462065667835512
157059,last,accuracy,0.9481590691743704
179496,last,accuracy,0.9483184571246414
201933,last,accuracy,0.948238763149506
224370,last,accuracy,0.9496732547019445
246807,last,accuracy,0.9497927956646478
269244,last,accuracy,0.9490755498884285
291681,last,accuracy,0.9479996812240995
314118,last,accuracy,0.9489161619381574
336555,last,accuracy,0.9506295824035703
358992,last,accuracy,0.9480395282116671
381429,last,accuracy,0.9505498884284348
403866,last,accuracy,0.9491153968759962
426303,last,accuracy,0.9508686643289768
448740,last,accuracy,0.9506295824035703
471177,last,accuracy,0.9504701944532993
493614,last,accuracy,0.9510678992668155
516051,last,accuracy,0.9507491233662735
538488,last,accuracy,0.9503506534905961
560925,last,accuracy,0.9500717245776219
583362,last,accuracy,0.9511077462543832
605799,last,accuracy,0.9510678992668155
628236,last,accuracy,0.9523031558814153
650673,last,accuracy,0.9510280522792477
673110,last,accuracy,0.9506295824035703
695547,last,accuracy,0.9509483583041122
717984,last,accuracy,0.9516257570927638
740421,last,accuracy,0.9504701944532993
762858,last,accuracy,0.9520242269684411
785295,last,accuracy,0.9507491233662735
807732,last,accuracy,0.9529008606949315
830169,last,accuracy,0.952502390819254
852606,last,accuracy,0.952821166719796
875043,last,accuracy,0.9518648390181702
897480,last,accuracy,0.9522234619062799
919917,last,accuracy,0.9523430028689831
