checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6633216038924367
0,last,accuracy,0.6633216038924367
10,last,accuracy,0.6633216038924367
20,last,accuracy,0.6634084886398193
40,last,accuracy,0.6636257005082757
100,last,accuracy,0.6630175072765976
200,last,accuracy,0.663365046266128
400,last,accuracy,0.6650592988400886
800,last,accuracy,0.6788305313002303
21085,last,accuracy,0.9133324644858595
42170,last,accuracy,0.9219340544767366
63255,last,accuracy,0.9242365002823755
84340,last,accuracy,0.9264520613406316
105425,last,accuracy,0.927364351188149
126510,last,accuracy,0.9286241800251965
147595,last,accuracy,0.9280594291672097
168680,last,accuracy,0.9296667969937877
189765,last,accuracy,0.929710239367479
210850,last,accuracy,0.9306659715886876
231935,last,accuracy,0.9324471089100308
253020,last,accuracy,0.9336200529996959
274105,last,accuracy,0.9317954733046614
295190,last,accuracy,0.9335766106260046
316275,last,accuracy,0.9338372648681524
337360,last,accuracy,0.9334028411312394
358445,last,accuracy,0.9337503801207698
379530,last,accuracy,0.9330118597680177
400615,last,accuracy,0.9330553021417091
421700,last,accuracy,0.9349233242104349
442785,last,accuracy,0.9337503801207698
463870,last,accuracy,0.9341413614839915
484955,last,accuracy,0.9328380902732525
506040,last,accuracy,0.9353577479473478
527125,last,accuracy,0.9345323428472132
548210,last,accuracy,0.9351839784525826
569295,last,accuracy,0.9346626699682871
590380,last,accuracy,0.9353577479473478
611465,last,accuracy,0.9353577479473478
632550,last,accuracy,0.9351839784525826
653635,last,accuracy,0.9346626699682871
674720,last,accuracy,0.9353577479473478
695805,last,accuracy,0.9347061123419783
716890,last,accuracy,0.9349667665841261
737975,last,accuracy,0.9349667665841261
759060,last,accuracy,0.9354011903210392
780145,last,accuracy,0.9349667665841261
801230,last,accuracy,0.9357921716842609
822315,last,accuracy,0.9356618445631869
843400,last,accuracy,0.9354446326947304
864485,last,accuracy,0.935965941179026
885570,last,accuracy,0.9357052869368783
906655,last,accuracy,0.936400364915939
927740,last,accuracy,0.9345757852209045
948825,last,accuracy,0.9346192275945958
969910,last,accuracy,0.9347929970893609
990995,last,accuracy,0.9346192275945958
1012080,last,accuracy,0.9345323428472132
