checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6697510751987489
10,last,accuracy,0.6711412311568704
20,last,accuracy,0.6711846735305617
40,last,accuracy,0.6711412311568704
100,last,accuracy,0.6715756548937833
200,last,accuracy,0.6726182718623746
400,last,accuracy,0.6758764498892219
800,last,accuracy,0.6806551109952648
1600,last,accuracy,0.6847386941222469
3200,last,accuracy,0.6831313262956688
6400,last,accuracy,0.7032017029410487
12800,last,accuracy,0.8948260132933663
20000,last,accuracy,0.9138972153438464
40000,last,accuracy,0.923584864677006
60000,last,accuracy,0.9274077935618402
66694,last,accuracy,0.9286241800251965
80000,last,accuracy,0.928971719014727
100000,last,accuracy,0.9325774360311048
120000,last,accuracy,0.9337503801207698
133388,last,accuracy,0.9332290716364742
140000,last,accuracy,0.9330553021417091
160000,last,accuracy,0.935531517442113
180000,last,accuracy,0.9342282462313741
200000,last,accuracy,0.9359224988053347
200082,last,accuracy,0.935965941179026
220000,last,accuracy,0.9365306920370129
240000,last,accuracy,0.9353577479473478
260000,last,accuracy,0.9359224988053347
266776,last,accuracy,0.9364438072896303
280000,last,accuracy,0.9374864242582215
300000,last,accuracy,0.9364438072896303
320000,last,accuracy,0.9367479039054694
340000,last,accuracy,0.9366175767843955
360000,last,accuracy,0.9349233242104349
380000,last,accuracy,0.9390069073374169
400000,last,accuracy,0.9373995395108389
420000,last,accuracy,0.9371823276423824
440000,last,accuracy,0.937269212389765
460000,last,accuracy,0.9387028107215778
480000,last,accuracy,0.9391372344584908
500000,last,accuracy,0.9370954428949998
520000,last,accuracy,0.9375298666319127
540000,last,accuracy,0.9385724836005039
560000,last,accuracy,0.9382249446109735
580000,last,accuracy,0.9383987141057387
600000,last,accuracy,0.9377470785003693
620000,last,accuracy,0.9380946174898996
640000,last,accuracy,0.9391806768321821
660000,last,accuracy,0.9395282158217125
680000,last,accuracy,0.938138059863591
700000,last,accuracy,0.9378774056214432
720000,last,accuracy,0.9383118293583561
740000,last,accuracy,0.9387028107215778
760000,last,accuracy,0.9390503497111082
780000,last,accuracy,0.938007732742517
800000,last,accuracy,0.9376601937529867
820000,last,accuracy,0.9381815022372822
840000,last,accuracy,0.937138885268691
860000,last,accuracy,0.9373560971371476
880000,last,accuracy,0.9380946174898996
900000,last,accuracy,0.9382249446109735
920000,last,accuracy,0.9382683869846649
940000,last,accuracy,0.9377905208740606
960000,last,accuracy,0.9379642903688258
980000,last,accuracy,0.937703636126678
1000000,last,accuracy,0.937703636126678
