checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6633216038924367
10,last,accuracy,0.6634084886398193
20,last,accuracy,0.6634084886398193
40,last,accuracy,0.6636257005082757
100,last,accuracy,0.6636257005082757
200,last,accuracy,0.6634953733872019
400,last,accuracy,0.6673617446457274
800,last,accuracy,0.6831747686693601
23172,last,accuracy,0.9074677440375342
46344,last,accuracy,0.9173726052391503
69516,last,accuracy,0.9158521221599548
92688,last,accuracy,0.9237151917980798
115860,last,accuracy,0.927234024067075
139032,last,accuracy,0.9267127155827795
162204,last,accuracy,0.9288413918936531
185376,last,accuracy,0.9295799122464051
208548,last,accuracy,0.9278422172987532
231720,last,accuracy,0.928102871540901
254892,last,accuracy,0.929275815630566
278064,last,accuracy,0.9271905816933838
301236,last,accuracy,0.9292323732568748
324408,last,accuracy,0.9299274512359356
347580,last,accuracy,0.9289282766410356
370752,last,accuracy,0.9297971241148616
393924,last,accuracy,0.9295364698727139
417096,last,accuracy,0.9294495851253313
440268,last,accuracy,0.9299274512359356
463440,last,accuracy,0.9279725444198271
486612,last,accuracy,0.9280159867935184
509784,last,accuracy,0.9271905816933838
532956,last,accuracy,0.9303184325991573
556128,last,accuracy,0.9291889308831834
579300,last,accuracy,0.9278422172987532
602472,last,accuracy,0.9269299274512359
625644,last,accuracy,0.9267561579564707
648816,last,accuracy,0.9287979495199618
671988,last,accuracy,0.9299274512359356
695160,last,accuracy,0.9284938529041227
718332,last,accuracy,0.9300577783570094
741504,last,accuracy,0.9302315478517746
764676,last,accuracy,0.9303184325991573
787848,last,accuracy,0.929710239367479
811020,last,accuracy,0.9307962987097615
834192,last,accuracy,0.9321430122941917
857364,last,accuracy,0.9303618749728485
880536,last,accuracy,0.9313176071940571
903708,last,accuracy,0.9303618749728485
926880,last,accuracy,0.9295364698727139
950052,last,accuracy,0.9307962987097615
973224,last,accuracy,0.9329249750206351
996396,last,accuracy,0.9309700682045267
1019568,last,accuracy,0.9312307224466745
