checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6633216038924367
10,last,accuracy,0.663365046266128
20,last,accuracy,0.6634084886398193
40,last,accuracy,0.663365046266128
100,last,accuracy,0.6628871801555237
200,last,accuracy,0.6700117294408966
400,last,accuracy,0.6710977887831792
800,last,accuracy,0.6768756244841219
22746,last,accuracy,0.9038185846474651
45492,last,accuracy,0.9135062339806247
68238,last,accuracy,0.9154176984230419
90984,last,accuracy,0.9188062035709631
113730,last,accuracy,0.9219340544767366
136476,last,accuracy,0.921847169729354
159222,last,accuracy,0.920978322255528
181968,last,accuracy,0.9220209392241192
204714,last,accuracy,0.9213693036187497
227460,last,accuracy,0.9232807680611669
250206,last,accuracy,0.9242365002823755
272952,last,accuracy,0.9234545375559321
295698,last,accuracy,0.9238455189191538
318444,last,accuracy,0.9247143663929797
341190,last,accuracy,0.925626656240497
363936,last,accuracy,0.9233676528085495
386682,last,accuracy,0.9258004257352622
409428,last,accuracy,0.9239758460402276
432174,last,accuracy,0.9249315782614362
454920,last,accuracy,0.927234024067075
477666,last,accuracy,0.9269299274512359
500412,last,accuracy,0.9271905816933838
523158,last,accuracy,0.9263217342195578
545904,last,accuracy,0.9273209088144576
568650,last,accuracy,0.9267127155827795
591396,last,accuracy,0.9279291020461358
614142,last,accuracy,0.9269733698249273
636888,last,accuracy,0.9274946783092228
659634,last,accuracy,0.9262348494721752
682380,last,accuracy,0.9280594291672097
705126,last,accuracy,0.9262348494721752
727872,last,accuracy,0.927668447803988
750618,last,accuracy,0.9294495851253313
773364,last,accuracy,0.9269733698249273
796110,last,accuracy,0.9263217342195578
818856,last,accuracy,0.9266258308353968
841602,last,accuracy,0.9287979495199618
864348,last,accuracy,0.9286241800251965
887094,last,accuracy,0.928102871540901
909840,last,accuracy,0.9287545071462705
932586,last,accuracy,0.9288848342673444
955332,last,accuracy,0.9279291020461358
978078,last,accuracy,0.9283200834093575
1000824,last,accuracy,0.9280159867935184
