checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.2420496685020318
10,last,f1-measure-overall,0.23985929427278999
20,last,f1-measure-overall,0.2460608676882753
40,last,f1-measure-overall,0.23702231058091178
100,last,f1-measure-overall,0.2532877705291013
200,last,f1-measure-overall,0.25008240852648844
400,last,f1-measure-overall,0.2631998406056491
800,last,f1-measure-overall,0.26398824105825536
1600,last,f1-measure-overall,0.2705751989523031
3200,last,f1-measure-overall,0.33259011519876097
6400,last,f1-measure-overall,0.42664789228191774
12800,last,f1-measure-overall,0.6771923802985599
20000,last,f1-measure-overall,0.7159274708435698
40000,last,f1-measure-overall,0.7692572510542577
60000,last,f1-measure-overall,0.7682005494504995
80000,last,f1-measure-overall,0.7745367192861546
100000,last,f1-measure-overall,0.7867501930832762
120000,last,f1-measure-overall,0.7910587833802076
140000,last,f1-measure-overall,0.7889546351084314
160000,last,f1-measure-overall,0.7933208383028979
180000,last,f1-measure-overall,0.79523033370502
200000,last,f1-measure-overall,0.808988764044894
220000,last,f1-measure-overall,0.809025394646484
240000,last,f1-measure-overall,0.8016104163096982
260000,last,f1-measure-overall,0.8002743013886008
280000,last,f1-measure-overall,0.8055841041452053
300000,last,f1-measure-overall,0.8055555555555056
320000,last,f1-measure-overall,0.8097812097811597
340000,last,f1-measure-overall,0.8068367259296932
360000,last,f1-measure-overall,0.8145029641721298
380000,last,f1-measure-overall,0.8095360603721309
400000,last,f1-measure-overall,0.8160442600276125
420000,last,f1-measure-overall,0.8154987918535919
440000,last,f1-measure-overall,0.817650094615467
460000,last,f1-measure-overall,0.8237511781337862
480000,last,f1-measure-overall,0.8273064641407977
500000,last,f1-measure-overall,0.8249590623114214
520000,last,f1-measure-overall,0.8178853415722123
540000,last,f1-measure-overall,0.8200600085726033
560000,last,f1-measure-overall,0.8202131316603145
580000,last,f1-measure-overall,0.8179469514295056
600000,last,f1-measure-overall,0.8140815975210381
620000,last,f1-measure-overall,0.8197849462365092
640000,last,f1-measure-overall,0.8176738588497738
660000,last,f1-measure-overall,0.8206718346252732
680000,last,f1-measure-overall,0.8225070979953042
700000,last,f1-measure-overall,0.8230019829295129
720000,last,f1-measure-overall,0.8273251312053188
740000,last,f1-measure-overall,0.831189016492481
760000,last,f1-measure-overall,0.8297651933701158
780000,last,f1-measure-overall,0.8371652458451235
800000,last,f1-measure-overall,0.831255909911409
820000,last,f1-measure-overall,0.8289950008618705
840000,last,f1-measure-overall,0.8294573643410353
860000,last,f1-measure-overall,0.8294406618977351
880000,last,f1-measure-overall,0.8341387642388177
900000,last,f1-measure-overall,0.8333763885300456
920000,last,f1-measure-overall,0.8338503964149793
940000,last,f1-measure-overall,0.8329598345112412
960000,last,f1-measure-overall,0.8312764304823873
980000,last,f1-measure-overall,0.8367470400137779
1000000,last,f1-measure-overall,0.8339635613612426
