checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.2420496685020318
0,last,f1-measure-overall,0.2420496685020318
10,last,f1-measure-overall,0.23619800241461644
20,last,f1-measure-overall,0.2370680167289866
40,last,f1-measure-overall,0.2369030550346944
100,last,f1-measure-overall,0.2534161490682744
200,last,f1-measure-overall,0.2469325153373761
400,last,f1-measure-overall,0.25893738889981244
800,last,f1-measure-overall,0.2563826349240071
21085,last,f1-measure-overall,0.7150135869564719
42170,last,f1-measure-overall,0.7533801129556235
63255,last,f1-measure-overall,0.7716562419672195
84340,last,f1-measure-overall,0.7690868899846466
105425,last,f1-measure-overall,0.7842802221272461
126510,last,f1-measure-overall,0.7911522633744357
147595,last,f1-measure-overall,0.7926172776210729
168680,last,f1-measure-overall,0.7940497563477316
189765,last,f1-measure-overall,0.798088410991587
210850,last,f1-measure-overall,0.799004889765756
231935,last,f1-measure-overall,0.8080860215053264
253020,last,f1-measure-overall,0.8155656730520934
274105,last,f1-measure-overall,0.794019649722291
295190,last,f1-measure-overall,0.8143383929336607
316275,last,f1-measure-overall,0.8057762966760161
337360,last,f1-measure-overall,0.8207653105294481
358445,last,f1-measure-overall,0.8118335053319076
379530,last,f1-measure-overall,0.815958815958766
400615,last,f1-measure-overall,0.818689341235027
421700,last,f1-measure-overall,0.8170710721045793
442785,last,f1-measure-overall,0.8250517598343186
463870,last,f1-measure-overall,0.8193309828875586
484955,last,f1-measure-overall,0.8244524918088827
506040,last,f1-measure-overall,0.82035003431704
527125,last,f1-measure-overall,0.8255823949109791
548210,last,f1-measure-overall,0.8232158211521426
569295,last,f1-measure-overall,0.8255062473071453
590380,last,f1-measure-overall,0.8345448251989808
611465,last,f1-measure-overall,0.8289644432908921
632550,last,f1-measure-overall,0.8313732272569545
653635,last,f1-measure-overall,0.8325400259627368
674720,last,f1-measure-overall,0.8301071552021623
695805,last,f1-measure-overall,0.8289780077619164
716890,last,f1-measure-overall,0.8293695407765651
737975,last,f1-measure-overall,0.8284974093263748
759060,last,f1-measure-overall,0.8309895608661392
780145,last,f1-measure-overall,0.8274431867276785
801230,last,f1-measure-overall,0.8284258699593663
822315,last,f1-measure-overall,0.8285813029202886
843400,last,f1-measure-overall,0.8282426235181641
864485,last,f1-measure-overall,0.8300975062558825
885570,last,f1-measure-overall,0.8295886622882321
906655,last,f1-measure-overall,0.8346715013381181
927740,last,f1-measure-overall,0.8325846579128734
948825,last,f1-measure-overall,0.8337803928354609
969910,last,f1-measure-overall,0.8338520055324534
990995,last,f1-measure-overall,0.8336070533321309
1012080,last,f1-measure-overall,0.8329155501771477
