checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.2420496685020318
10,last,f1-measure-overall,0.2471520017358752
20,last,f1-measure-overall,0.23827350803783012
40,last,f1-measure-overall,0.2381948266372672
100,last,f1-measure-overall,0.25450403810307837
200,last,f1-measure-overall,0.2518404570925801
400,last,f1-measure-overall,0.2502420656266333
800,last,f1-measure-overall,0.2495799260669413
23172,last,f1-measure-overall,0.634975115840005
46344,last,f1-measure-overall,0.6529286019666025
69516,last,f1-measure-overall,0.665305427939375
92688,last,f1-measure-overall,0.6753512132821978
115860,last,f1-measure-overall,0.6817174987220491
139032,last,f1-measure-overall,0.6878948267030404
162204,last,f1-measure-overall,0.6873885350317972
185376,last,f1-measure-overall,0.6835099618481909
208548,last,f1-measure-overall,0.6747498728166366
231720,last,f1-measure-overall,0.6815945716708577
254892,last,f1-measure-overall,0.6812234494476986
278064,last,f1-measure-overall,0.6893385478659593
301236,last,f1-measure-overall,0.6763088894527117
324408,last,f1-measure-overall,0.6914271177816851
347580,last,f1-measure-overall,0.6955559339349068
370752,last,f1-measure-overall,0.6921378841908145
393924,last,f1-measure-overall,0.6896141424442812
417096,last,f1-measure-overall,0.6931383385766018
440268,last,f1-measure-overall,0.6924910607866009
463440,last,f1-measure-overall,0.6877008966333455
486612,last,f1-measure-overall,0.6971067679439632
509784,last,f1-measure-overall,0.7023982248015204
532956,last,f1-measure-overall,0.695851361669586
556128,last,f1-measure-overall,0.693086146781139
579300,last,f1-measure-overall,0.7111111111110613
602472,last,f1-measure-overall,0.7001617985182164
625644,last,f1-measure-overall,0.7084639498432105
648816,last,f1-measure-overall,0.7062099223759205
671988,last,f1-measure-overall,0.7109388167874101
695160,last,f1-measure-overall,0.7117637073501453
718332,last,f1-measure-overall,0.7204788371098262
741504,last,f1-measure-overall,0.7145644244634332
764676,last,f1-measure-overall,0.710144927536182
787848,last,f1-measure-overall,0.7209242618741477
811020,last,f1-measure-overall,0.7167323171775489
834192,last,f1-measure-overall,0.7178391315496553
857364,last,f1-measure-overall,0.7114185669142896
880536,last,f1-measure-overall,0.7178785286569219
903708,last,f1-measure-overall,0.7190301374540607
926880,last,f1-measure-overall,0.7130449447676371
950052,last,f1-measure-overall,0.7126708284123004
973224,last,f1-measure-overall,0.7153859318842561
996396,last,f1-measure-overall,0.7177950868783204
1019568,last,f1-measure-overall,0.7180013689253436
