checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.2420496685020318
10,last,f1-measure-overall,0.24684919600169083
20,last,f1-measure-overall,0.23803220825055962
40,last,f1-measure-overall,0.23644777434988687
100,last,f1-measure-overall,0.2526359313623661
200,last,f1-measure-overall,0.24700055035768548
400,last,f1-measure-overall,0.24519445686182198
800,last,f1-measure-overall,0.24997149047777376
22746,last,f1-measure-overall,0.7233463696649732
45492,last,f1-measure-overall,0.751426381674139
68238,last,f1-measure-overall,0.7597031476583993
90984,last,f1-measure-overall,0.7689126313975031
113730,last,f1-measure-overall,0.77414907367509
136476,last,f1-measure-overall,0.7894827586206397
159222,last,f1-measure-overall,0.7780178000517949
181968,last,f1-measure-overall,0.7964981546647857
204714,last,f1-measure-overall,0.7896193771625798
227460,last,f1-measure-overall,0.7817232822794058
250206,last,f1-measure-overall,0.7960696431649217
272952,last,f1-measure-overall,0.797715867797147
295698,last,f1-measure-overall,0.79099456568614
318444,last,f1-measure-overall,0.8015280430629819
341190,last,f1-measure-overall,0.8058798097708103
363936,last,f1-measure-overall,0.7925818306127183
386682,last,f1-measure-overall,0.7930354232781043
409428,last,f1-measure-overall,0.8106708106707607
432174,last,f1-measure-overall,0.804985717995276
454920,last,f1-measure-overall,0.812272490899586
477666,last,f1-measure-overall,0.811030428768968
500412,last,f1-measure-overall,0.8183320288720258
523158,last,f1-measure-overall,0.8093506493505994
545904,last,f1-measure-overall,0.813058956325382
568650,last,f1-measure-overall,0.8057059379564679
591396,last,f1-measure-overall,0.8144356727682331
614142,last,f1-measure-overall,0.8129856674149043
636888,last,f1-measure-overall,0.8204683434518149
659634,last,f1-measure-overall,0.8137407215604541
682380,last,f1-measure-overall,0.8228472522716939
705126,last,f1-measure-overall,0.81945889698226
727872,last,f1-measure-overall,0.8203172401837066
750618,last,f1-measure-overall,0.8208955223880098
773364,last,f1-measure-overall,0.8164535084686676
796110,last,f1-measure-overall,0.813983599482039
818856,last,f1-measure-overall,0.8141180531583897
841602,last,f1-measure-overall,0.8148720590760277
864348,last,f1-measure-overall,0.81864304755348
887094,last,f1-measure-overall,0.8168965218145046
909840,last,f1-measure-overall,0.8157667759185285
932586,last,f1-measure-overall,0.8183308880641601
955332,last,f1-measure-overall,0.8212552011095202
978078,last,f1-measure-overall,0.8171152518978106
1000824,last,f1-measure-overall,0.8198456067308026
