checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,f1-measure-overall,0.2420496685020318
10,last,f1-measure-overall,0.24601712365877976
20,last,f1-measure-overall,0.23732895457028666
40,last,f1-measure-overall,0.2368914891267882
100,last,f1-measure-overall,0.25255972696240875
200,last,f1-measure-overall,0.2467532467531997
400,last,f1-measure-overall,0.24604412747933826
800,last,f1-measure-overall,0.25034262220187287
1000,last,f1-measure-overall,0.2499731558036675
2000,last,f1-measure-overall,0.30495576904779576
3000,last,f1-measure-overall,0.34644229010421196
4000,last,f1-measure-overall,0.396106717650076
5000,last,f1-measure-overall,0.4265251989389421
6000,last,f1-measure-overall,0.47633824670282043
7000,last,f1-measure-overall,0.5296631902888884
8000,last,f1-measure-overall,0.5811792532521887
9000,last,f1-measure-overall,0.6273030356202343
10000,last,f1-measure-overall,0.6582170806396235
11000,last,f1-measure-overall,0.6687887130075206
12000,last,f1-measure-overall,0.681356221709746
13000,last,f1-measure-overall,0.68824531516179
14000,last,f1-measure-overall,0.7026473099914105
15000,last,f1-measure-overall,0.7080937258603911
16000,last,f1-measure-overall,0.7082688671135826
17000,last,f1-measure-overall,0.7232909653039694
18000,last,f1-measure-overall,0.7241027385609298
19000,last,f1-measure-overall,0.7209461775796553
20000,last,f1-measure-overall,0.7285386770823989
21000,last,f1-measure-overall,0.7269759450171323
22000,last,f1-measure-overall,0.7306763285023656
22437,last,f1-measure-overall,0.7383193564949013
44874,last,f1-measure-overall,0.7478650910031418
67311,last,f1-measure-overall,0.759461082982873
89748,last,f1-measure-overall,0.7770404205808342
112185,last,f1-measure-overall,0.7725329228663773
134622,last,f1-measure-overall,0.7878891843210755
157059,last,f1-measure-overall,0.7806307082543013
179496,last,f1-measure-overall,0.7774154796635848
201933,last,f1-measure-overall,0.7931662475066712
224370,last,f1-measure-overall,0.7893918451969093
246807,last,f1-measure-overall,0.7966540186270629
269244,last,f1-measure-overall,0.7924203273039984
291681,last,f1-measure-overall,0.7872212176009145
314118,last,f1-measure-overall,0.8099301784328437
336555,last,f1-measure-overall,0.7998281786941082
358992,last,f1-measure-overall,0.800620636152006
381429,last,f1-measure-overall,0.8015142390088119
403866,last,f1-measure-overall,0.8066701406982304
426303,last,f1-measure-overall,0.7991029069265436
448740,last,f1-measure-overall,0.8062754615584142
471177,last,f1-measure-overall,0.7985158339804489
493614,last,f1-measure-overall,0.8036608530477829
516051,last,f1-measure-overall,0.8139816577262003
538488,last,f1-measure-overall,0.8031536995320935
560925,last,f1-measure-overall,0.7994462709810887
583362,last,f1-measure-overall,0.8039672272530763
605799,last,f1-measure-overall,0.8089423903696835
628236,last,f1-measure-overall,0.8093151155795668
650673,last,f1-measure-overall,0.8136710617626149
673110,last,f1-measure-overall,0.8017545368538247
695547,last,f1-measure-overall,0.8075303017277932
717984,last,f1-measure-overall,0.8101221942975495
740421,last,f1-measure-overall,0.8094376991302351
762858,last,f1-measure-overall,0.8122665276691359
785295,last,f1-measure-overall,0.8112214069917498
807732,last,f1-measure-overall,0.8133757414252059
830169,last,f1-measure-overall,0.8097788527988443
852606,last,f1-measure-overall,0.8134683631956569
875043,last,f1-measure-overall,0.8070631004933283
897480,last,f1-measure-overall,0.8067532467531969
919917,last,f1-measure-overall,0.8101507015416095
