checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6633216038924367
10,last,accuracy,0.663365046266128
20,last,accuracy,0.663365046266128
40,last,accuracy,0.6637125852556583
100,last,accuracy,0.6628002954081411
200,last,accuracy,0.6700117294408966
400,last,accuracy,0.671966636257005
800,last,accuracy,0.6814805160953995
1600,last,accuracy,0.6865198314435901
3200,last,accuracy,0.6914722620443982
6400,last,accuracy,0.7040271080411834
12800,last,accuracy,0.8989530387940398
20000,last,accuracy,0.9154611407967331
40000,last,accuracy,0.926365176593249
60000,last,accuracy,0.9265823884617056
80000,last,accuracy,0.9295364698727139
100000,last,accuracy,0.9306225292149963
120000,last,accuracy,0.9294495851253313
140000,last,accuracy,0.930883183457144
160000,last,accuracy,0.9316217038098962
180000,last,accuracy,0.931882358052044
200000,last,accuracy,0.9344889004735218
220000,last,accuracy,0.9357487293105695
240000,last,accuracy,0.9333593987575481
260000,last,accuracy,0.9338372648681524
280000,last,accuracy,0.9351405360788914
300000,last,accuracy,0.9353577479473478
320000,last,accuracy,0.9367044615317781
340000,last,accuracy,0.9371823276423824
360000,last,accuracy,0.9376167513792953
380000,last,accuracy,0.9365741344107043
400000,last,accuracy,0.9378774056214432
420000,last,accuracy,0.9377905208740606
440000,last,accuracy,0.9367044615317781
460000,last,accuracy,0.9366175767843955
480000,last,accuracy,0.9370954428949998
500000,last,accuracy,0.9386593683478865
520000,last,accuracy,0.937138885268691
540000,last,accuracy,0.9380511751162084
560000,last,accuracy,0.9389200225900343
580000,last,accuracy,0.9375733090056041
600000,last,accuracy,0.9367044615317781
620000,last,accuracy,0.939311003953256
640000,last,accuracy,0.9385724836005039
660000,last,accuracy,0.9387896954689604
680000,last,accuracy,0.9387896954689604
700000,last,accuracy,0.9377470785003693
720000,last,accuracy,0.9375733090056041
740000,last,accuracy,0.9387462530952692
760000,last,accuracy,0.9375733090056041
780000,last,accuracy,0.9386159259741952
800000,last,accuracy,0.9388331378426518
820000,last,accuracy,0.9389200225900343
840000,last,accuracy,0.9392241192058735
860000,last,accuracy,0.9385290412268127
880000,last,accuracy,0.9382683869846649
900000,last,accuracy,0.9377470785003693
920000,last,accuracy,0.9391372344584908
940000,last,accuracy,0.9387028107215778
960000,last,accuracy,0.9391372344584908
980000,last,accuracy,0.9388331378426518
1000000,last,accuracy,0.9389634649637256
