checkpoint (in update steps),aggregation_method,metric_name,metric
0,last,accuracy,0.6633216038924367
10,last,accuracy,0.663365046266128
20,last,accuracy,0.6634519310135106
40,last,accuracy,0.6634084886398193
100,last,accuracy,0.6627568530344498
200,last,accuracy,0.6645379903557931
400,last,accuracy,0.6708805769147226
800,last,accuracy,0.6648855293453234
1000,last,accuracy,0.6767452973630479
2000,last,accuracy,0.6821755940744603
3000,last,accuracy,0.6845649246274816
4000,last,accuracy,0.6903862027021156
5000,last,accuracy,0.6976845214822538
6000,last,accuracy,0.7049393978887006
7000,last,accuracy,0.716495069290586
8000,last,accuracy,0.7475129241061732
9000,last,accuracy,0.819974803423259
10000,last,accuracy,0.8591598244928103
11000,last,accuracy,0.8730613840740258
12000,last,accuracy,0.8808810113384595
13000,last,accuracy,0.8899170250662496
14000,last,accuracy,0.8910465267822234
15000,last,accuracy,0.8932186454667883
16000,last,accuracy,0.8950866675355141
17000,last,accuracy,0.8990399235414223
18000,last,accuracy,0.9016464659629002
19000,last,accuracy,0.9008210608627656
20000,last,accuracy,0.9031669490420957
21000,last,accuracy,0.9044702202528346
22000,last,accuracy,0.9054693948477345
22437,last,accuracy,0.9053825101003519
44874,last,accuracy,0.9140709848386116
67311,last,accuracy,0.9162865458968678
89748,last,accuracy,0.9203266866501586
112185,last,accuracy,0.9198922629132456
134622,last,accuracy,0.9207176680133803
157059,last,accuracy,0.9211520917502932
179496,last,accuracy,0.9242365002823755
201933,last,accuracy,0.9234545375559321
224370,last,accuracy,0.9253660019983492
246807,last,accuracy,0.9267561579564707
269244,last,accuracy,0.9253660019983492
291681,last,accuracy,0.9259307528563361
314118,last,accuracy,0.9249315782614362
336555,last,accuracy,0.9239324036665364
358992,last,accuracy,0.924757808766671
381429,last,accuracy,0.9238455189191538
403866,last,accuracy,0.9248446935140536
426303,last,accuracy,0.925496329119423
448740,last,accuracy,0.9266258308353968
471177,last,accuracy,0.9258004257352622
493614,last,accuracy,0.9261479647247925
516051,last,accuracy,0.9257135409878796
538488,last,accuracy,0.9263217342195578
560925,last,accuracy,0.9294061427516399
583362,last,accuracy,0.9274512359355315
605799,last,accuracy,0.9270168121986185
628236,last,accuracy,0.9275381206829141
650673,last,accuracy,0.9274077935618402
673110,last,accuracy,0.9275815630566054
695547,last,accuracy,0.9279291020461358
717984,last,accuracy,0.9270602545723098
740421,last,accuracy,0.9295799122464051
762858,last,accuracy,0.9286676223988879
785295,last,accuracy,0.9274946783092228
807732,last,accuracy,0.9293627003779487
830169,last,accuracy,0.930144663104392
852606,last,accuracy,0.9304487597202311
875043,last,accuracy,0.9288848342673444
897480,last,accuracy,0.9296667969937877
919917,last,accuracy,0.9307528563360702
