checkpoint (in update steps),metric_name,metric
0,acc,0.506
10,acc,0.506
20,acc,0.506
40,acc,0.506
100,acc,0.506
200,acc,0.506
400,acc,0.494
800,acc,0.494
1600,acc,0.494
3200,acc,0.494
6400,acc,0.494
12800,acc,0.494
20000,acc,0.494
40000,acc,0.482
60000,acc,0.494
80000,acc,0.494
100000,acc,0.504
120000,acc,0.506
140000,acc,0.506
160000,acc,0.51
180000,acc,0.506
200000,acc,0.506
220000,acc,0.506
240000,acc,0.506
260000,acc,0.506
280000,acc,0.506
300000,acc,0.506
320000,acc,0.506
340000,acc,0.506
360000,acc,0.506
380000,acc,0.506
400000,acc,0.506
420000,acc,0.506
440000,acc,0.506
460000,acc,0.506
480000,acc,0.506
500000,acc,0.506
520000,acc,0.506
540000,acc,0.506
560000,acc,0.506
580000,acc,0.506
600000,acc,0.506
620000,acc,0.506
640000,acc,0.506
660000,acc,0.506
680000,acc,0.526
700000,acc,0.67
720000,acc,0.506
740000,acc,0.506
760000,acc,0.506
780000,acc,0.506
800000,acc,0.506
820000,acc,0.506
840000,acc,0.506
860000,acc,0.506
880000,acc,0.506
900000,acc,0.506
920000,acc,0.506
940000,acc,0.506
960000,acc,0.506
980000,acc,0.506
1000000,acc,0.506
