checkpoint (in update steps),metric_name,metric
0,acc,0.506
10,acc,0.506
20,acc,0.506
40,acc,0.506
100,acc,0.506
200,acc,0.506
400,acc,0.52
800,acc,0.494
21085,acc,0.494
42170,acc,0.494
63255,acc,0.494
84340,acc,0.494
105425,acc,0.494
126510,acc,0.476
147595,acc,0.494
168680,acc,0.494
189765,acc,0.494
210850,acc,0.494
231935,acc,0.494
253020,acc,0.506
274105,acc,0.494
295190,acc,0.494
316275,acc,0.5
337360,acc,0.494
358445,acc,0.494
379530,acc,0.494
400615,acc,0.494
421700,acc,0.494
442785,acc,0.494
463870,acc,0.494
484955,acc,0.494
506040,acc,0.494
527125,acc,0.494
548210,acc,0.494
569295,acc,0.494
590380,acc,0.494
611465,acc,0.494
632550,acc,0.494
653635,acc,0.494
674720,acc,0.494
695805,acc,0.494
716890,acc,0.494
737975,acc,0.494
759060,acc,0.494
780145,acc,0.494
801230,acc,0.494
822315,acc,0.494
843400,acc,0.494
864485,acc,0.494
885570,acc,0.494
906655,acc,0.494
927740,acc,0.494
948825,acc,0.494
969910,acc,0.494
990995,acc,0.494
1012080,acc,0.494
