checkpoint (in update steps),metric_name,metric
0,acc,0.506
10,acc,0.506
20,acc,0.506
40,acc,0.506
100,acc,0.506
200,acc,0.506
400,acc,0.518
800,acc,0.494
1000,acc,0.494
2000,acc,0.494
3000,acc,0.494
4000,acc,0.494
5000,acc,0.494
6000,acc,0.494
7000,acc,0.494
8000,acc,0.494
9000,acc,0.494
10000,acc,0.494
11000,acc,0.494
12000,acc,0.494
13000,acc,0.45
14000,acc,0.494
15000,acc,0.494
16000,acc,0.494
17000,acc,0.494
18000,acc,0.502
19000,acc,0.494
20000,acc,0.494
21000,acc,0.494
22000,acc,0.494
22437,acc,0.494
44874,acc,0.506
67311,acc,0.494
89748,acc,0.494
112185,acc,0.494
134622,acc,0.494
157059,acc,0.494
179496,acc,0.494
201933,acc,0.48
224370,acc,0.46
246807,acc,0.46
269244,acc,0.504
291681,acc,0.432
314118,acc,0.494
336555,acc,0.494
358992,acc,0.506
381429,acc,0.506
403866,acc,0.506
426303,acc,0.476
448740,acc,0.494
471177,acc,0.506
493614,acc,0.494
516051,acc,0.604
538488,acc,0.596
560925,acc,0.494
583362,acc,0.494
605799,acc,0.494
628236,acc,0.494
650673,acc,0.494
673110,acc,0.494
695547,acc,0.494
717984,acc,0.664
740421,acc,0.494
762858,acc,0.494
785295,acc,0.494
807732,acc,0.494
830169,acc,0.494
852606,acc,0.494
875043,acc,0.494
897480,acc,0.496
919917,acc,0.582
