checkpoint (in update steps),metric_name,metric
0,acc,0.3964285714285714
10,acc,0.3964285714285714
20,acc,0.38571428571428573
40,acc,0.38571428571428573
100,acc,0.23214285714285715
200,acc,0.10357142857142858
400,acc,0.07142857142857142
800,acc,0.07142857142857142
21085,acc,0.26071428571428573
42170,acc,0.18214285714285713
63255,acc,0.2785714285714286
84340,acc,0.20714285714285716
105425,acc,0.2357142857142857
126510,acc,0.13214285714285715
147595,acc,0.18571428571428572
168680,acc,0.18214285714285713
189765,acc,0.36428571428571427
210850,acc,0.22142857142857142
231935,acc,0.25357142857142856
253020,acc,0.225
274105,acc,0.23214285714285715
295190,acc,0.22142857142857142
316275,acc,0.26785714285714285
337360,acc,0.23214285714285715
358445,acc,0.225
379530,acc,0.2571428571428571
400615,acc,0.2571428571428571
421700,acc,0.25357142857142856
442785,acc,0.22857142857142856
463870,acc,0.24285714285714285
484955,acc,0.2714285714285714
506040,acc,0.225
527125,acc,0.26071428571428573
548210,acc,0.32857142857142857
569295,acc,0.2571428571428571
590380,acc,0.24642857142857144
611465,acc,0.2785714285714286
632550,acc,0.2571428571428571
653635,acc,0.30714285714285716
674720,acc,0.3607142857142857
695805,acc,0.2714285714285714
716890,acc,0.29642857142857143
737975,acc,0.31785714285714284
759060,acc,0.26785714285714285
780145,acc,0.2785714285714286
801230,acc,0.25
822315,acc,0.2785714285714286
843400,acc,0.26071428571428573
864485,acc,0.25357142857142856
885570,acc,0.26785714285714285
906655,acc,0.29285714285714287
927740,acc,0.3142857142857143
948825,acc,0.30714285714285716
969910,acc,0.3107142857142857
990995,acc,0.30714285714285716
1012080,acc,0.30357142857142855
