checkpoint (in update steps),metric_name,metric
0,acc,0.3964285714285714
10,acc,0.3964285714285714
20,acc,0.3857142857142857
40,acc,0.3857142857142857
100,acc,0.2464285714285714
200,acc,0.15
400,acc,0.0714285714285714
800,acc,0.0714285714285714
22746,acc,0.275
45492,acc,0.2535714285714285
68238,acc,0.2892857142857143
90984,acc,0.2714285714285714
113730,acc,0.2035714285714285
136476,acc,0.2357142857142857
159222,acc,0.1857142857142857
181968,acc,0.2357142857142857
204714,acc,0.3071428571428571
227460,acc,0.3107142857142857
250206,acc,0.3357142857142857
272952,acc,0.2964285714285714
295698,acc,0.2321428571428571
318444,acc,0.2035714285714285
341190,acc,0.3
363936,acc,0.1714285714285714
386682,acc,0.3035714285714285
409428,acc,0.1071428571428571
432174,acc,0.1642857142857142
454920,acc,0.2428571428571428
477666,acc,0.1607142857142857
500412,acc,0.3642857142857142
523158,acc,0.3107142857142857
545904,acc,0.1642857142857142
568650,acc,0.1857142857142857
591396,acc,0.2071428571428571
614142,acc,0.2785714285714286
636888,acc,0.275
659634,acc,0.3214285714285714
682380,acc,0.2142857142857142
705126,acc,0.2892857142857143
727872,acc,0.2464285714285714
750618,acc,0.2035714285714285
773364,acc,0.3
796110,acc,0.1535714285714285
818856,acc,0.2392857142857143
841602,acc,0.2821428571428571
864348,acc,0.3142857142857143
887094,acc,0.2464285714285714
909840,acc,0.2357142857142857
932586,acc,0.2142857142857142
955332,acc,0.2392857142857143
978078,acc,0.25
1000824,acc,0.2678571428571428
