checkpoint (in update steps),metric_name,metric
0,acc,0.3964285714285714
10,acc,0.3964285714285714
20,acc,0.3857142857142857
40,acc,0.3857142857142857
100,acc,0.25
200,acc,0.175
400,acc,0.0714285714285714
800,acc,0.0714285714285714
1000,acc,0.0714285714285714
2000,acc,0.1142857142857142
3000,acc,0.1821428571428571
4000,acc,0.2892857142857143
5000,acc,0.375
6000,acc,0.3214285714285714
7000,acc,0.1964285714285714
8000,acc,0.325
9000,acc,0.35
10000,acc,0.2642857142857143
11000,acc,0.2107142857142857
12000,acc,0.2107142857142857
13000,acc,0.2357142857142857
14000,acc,0.1892857142857142
15000,acc,0.2321428571428571
16000,acc,0.2535714285714285
17000,acc,0.2571428571428571
18000,acc,0.2321428571428571
19000,acc,0.2142857142857142
20000,acc,0.2642857142857143
21000,acc,0.2464285714285714
22000,acc,0.275
22437,acc,0.1785714285714285
44874,acc,0.1321428571428571
67311,acc,0.1071428571428571
89748,acc,0.1571428571428571
112185,acc,0.1464285714285714
134622,acc,0.15
157059,acc,0.1357142857142857
179496,acc,0.1964285714285714
201933,acc,0.1571428571428571
224370,acc,0.125
246807,acc,0.1535714285714285
269244,acc,0.0678571428571428
291681,acc,0.1464285714285714
314118,acc,0.275
336555,acc,0.3535714285714286
358992,acc,0.225
381429,acc,0.175
403866,acc,0.2142857142857142
426303,acc,0.2321428571428571
448740,acc,0.2678571428571428
471177,acc,0.1964285714285714
493614,acc,0.25
516051,acc,0.2535714285714285
538488,acc,0.3142857142857143
560925,acc,0.225
583362,acc,0.3464285714285714
605799,acc,0.2928571428571428
628236,acc,0.3071428571428571
650673,acc,0.3214285714285714
673110,acc,0.3464285714285714
695547,acc,0.2928571428571428
717984,acc,0.2714285714285714
740421,acc,0.375
762858,acc,0.3142857142857143
785295,acc,0.2785714285714286
807732,acc,0.35
830169,acc,0.3142857142857143
852606,acc,0.3107142857142857
875043,acc,0.325
897480,acc,0.3607142857142857
919917,acc,0.4
