checkpoint (in update steps),metric_name,metric
0,acc,0.52
0,acc,0.52
10,acc,0.52
10,acc,0.52
20,acc,0.51
20,acc,0.51
40,acc,0.498
40,acc,0.498
100,acc,0.498
100,acc,0.498
200,acc,0.498
200,acc,0.498
400,acc,0.374
400,acc,0.374
800,acc,0.498
800,acc,0.498
1600,acc,0.498
1600,acc,0.498
3200,acc,0.5
3200,acc,0.5
6400,acc,0.518
6400,acc,0.518
12800,acc,0.552
12800,acc,0.552
20000,acc,0.634
20000,acc,0.634
40000,acc,0.666
40000,acc,0.666
60000,acc,0.586
60000,acc,0.586
80000,acc,0.622
80000,acc,0.622
100000,acc,0.558
100000,acc,0.558
120000,acc,0.602
120000,acc,0.602
140000,acc,0.534
140000,acc,0.534
160000,acc,0.568
160000,acc,0.568
180000,acc,0.528
180000,acc,0.528
200000,acc,0.53
200000,acc,0.53
220000,acc,0.53
220000,acc,0.53
240000,acc,0.488
240000,acc,0.488
260000,acc,0.516
260000,acc,0.516
280000,acc,0.576
280000,acc,0.576
300000,acc,0.57
300000,acc,0.57
320000,acc,0.576
320000,acc,0.576
340000,acc,0.502
340000,acc,0.502
360000,acc,0.518
360000,acc,0.518
380000,acc,0.51
380000,acc,0.51
400000,acc,0.476
400000,acc,0.476
420000,acc,0.53
420000,acc,0.53
440000,acc,0.52
440000,acc,0.52
460000,acc,0.472
460000,acc,0.472
480000,acc,0.524
480000,acc,0.524
500000,acc,0.476
500000,acc,0.476
520000,acc,0.532
520000,acc,0.532
540000,acc,0.46
540000,acc,0.46
560000,acc,0.566
560000,acc,0.566
580000,acc,0.548
580000,acc,0.548
600000,acc,0.554
600000,acc,0.554
620000,acc,0.55
620000,acc,0.55
640000,acc,0.552
640000,acc,0.552
660000,acc,0.54
660000,acc,0.54
680000,acc,0.506
680000,acc,0.506
700000,acc,0.564
700000,acc,0.564
720000,acc,0.56
720000,acc,0.56
740000,acc,0.53
740000,acc,0.53
760000,acc,0.572
760000,acc,0.572
780000,acc,0.552
780000,acc,0.552
800000,acc,0.554
800000,acc,0.554
820000,acc,0.558
820000,acc,0.558
840000,acc,0.56
840000,acc,0.56
860000,acc,0.556
860000,acc,0.556
880000,acc,0.55
880000,acc,0.55
900000,acc,0.562
900000,acc,0.562
920000,acc,0.556
920000,acc,0.556
940000,acc,0.59
940000,acc,0.59
960000,acc,0.58
960000,acc,0.58
980000,acc,0.594
980000,acc,0.594
1000000,acc,0.592
1000000,acc,0.592
