checkpoint (in update steps),metric_name,metric
0,acc,0.52
10,acc,0.524
20,acc,0.504
40,acc,0.514
100,acc,0.498
200,acc,0.498
400,acc,0.498
800,acc,0.498
1000,acc,0.498
2000,acc,0.498
3000,acc,0.498
4000,acc,0.498
5000,acc,0.506
6000,acc,0.61
7000,acc,0.498
8000,acc,0.504
9000,acc,0.504
10000,acc,0.588
11000,acc,0.61
12000,acc,0.612
13000,acc,0.652
14000,acc,0.582
15000,acc,0.576
16000,acc,0.55
17000,acc,0.56
18000,acc,0.516
19000,acc,0.568
20000,acc,0.526
21000,acc,0.504
22000,acc,0.504
22437,acc,0.49
44874,acc,0.492
67311,acc,0.586
89748,acc,0.52
112185,acc,0.568
134622,acc,0.556
157059,acc,0.502
179496,acc,0.512
201933,acc,0.52
224370,acc,0.5
246807,acc,0.536
269244,acc,0.498
291681,acc,0.48
314118,acc,0.438
336555,acc,0.494
358992,acc,0.508
381429,acc,0.516
403866,acc,0.48
426303,acc,0.48
448740,acc,0.478
471177,acc,0.468
493614,acc,0.48
516051,acc,0.512
538488,acc,0.476
560925,acc,0.464
583362,acc,0.494
605799,acc,0.56
628236,acc,0.556
650673,acc,0.582
673110,acc,0.564
695547,acc,0.558
717984,acc,0.57
740421,acc,0.58
762858,acc,0.6
785295,acc,0.542
807732,acc,0.564
830169,acc,0.542
852606,acc,0.556
875043,acc,0.546
897480,acc,0.516
919917,acc,0.562
