checkpoint (in update steps),metric_name,metric
0,acc,0.32
10,acc,0.34
20,acc,0.346
40,acc,0.334
100,acc,0.362
200,acc,0.358
400,acc,0.358
800,acc,0.33
1600,acc,0.336
3200,acc,0.322
6400,acc,0.302
12800,acc,0.35
20000,acc,0.338
40000,acc,0.358
60000,acc,0.33
80000,acc,0.272
100000,acc,0.3
120000,acc,0.34
140000,acc,0.342
160000,acc,0.334
180000,acc,0.364
200000,acc,0.352
220000,acc,0.338
240000,acc,0.35
260000,acc,0.402
280000,acc,0.306
300000,acc,0.298
320000,acc,0.322
340000,acc,0.28
360000,acc,0.324
380000,acc,0.286
400000,acc,0.332
420000,acc,0.346
440000,acc,0.306
460000,acc,0.314
480000,acc,0.286
500000,acc,0.342
520000,acc,0.294
540000,acc,0.326
560000,acc,0.334
580000,acc,0.328
600000,acc,0.364
620000,acc,0.328
640000,acc,0.352
660000,acc,0.33
680000,acc,0.328
700000,acc,0.294
720000,acc,0.344
740000,acc,0.292
760000,acc,0.356
780000,acc,0.344
800000,acc,0.35
820000,acc,0.318
840000,acc,0.304
860000,acc,0.342
880000,acc,0.31
900000,acc,0.316
920000,acc,0.318
940000,acc,0.354
960000,acc,0.318
980000,acc,0.308
1000000,acc,0.322
