checkpoint (in update steps),metric_name,metric
0,acc,0.31
10,acc,0.338
20,acc,0.32
40,acc,0.348
100,acc,0.296
200,acc,0.314
400,acc,0.362
800,acc,0.302
1600,acc,0.342
3200,acc,0.348
6400,acc,0.308
12800,acc,0.356
20000,acc,0.29
40000,acc,0.324
60000,acc,0.392
66694,acc,0.356
80000,acc,0.332
100000,acc,0.328
120000,acc,0.346
133388,acc,0.33
140000,acc,0.308
160000,acc,0.296
180000,acc,0.336
200000,acc,0.346
200082,acc,0.322
220000,acc,0.368
240000,acc,0.352
260000,acc,0.296
266776,acc,0.346
280000,acc,0.374
300000,acc,0.31
320000,acc,0.362
340000,acc,0.328
360000,acc,0.356
380000,acc,0.392
400000,acc,0.304
420000,acc,0.314
440000,acc,0.352
460000,acc,0.266
480000,acc,0.38
500000,acc,0.342
520000,acc,0.38
540000,acc,0.372
560000,acc,0.376
580000,acc,0.34
600000,acc,0.312
620000,acc,0.314
640000,acc,0.336
660000,acc,0.304
680000,acc,0.31
700000,acc,0.322
720000,acc,0.334
740000,acc,0.34
760000,acc,0.37
780000,acc,0.334
800000,acc,0.354
820000,acc,0.324
840000,acc,0.324
860000,acc,0.388
880000,acc,0.356
900000,acc,0.326
920000,acc,0.352
940000,acc,0.37
960000,acc,0.306
980000,acc,0.33
1000000,acc,0.362
