checkpoint (in update steps),metric_name,metric
0,acc,0.328
10,acc,0.304
20,acc,0.334
40,acc,0.274
100,acc,0.326
200,acc,0.338
400,acc,0.324
800,acc,0.334
22746,acc,0.33
45492,acc,0.31
68238,acc,0.326
90984,acc,0.328
113730,acc,0.3
136476,acc,0.352
159222,acc,0.346
181968,acc,0.322
204714,acc,0.356
227460,acc,0.35
250206,acc,0.3
272952,acc,0.302
295698,acc,0.344
318444,acc,0.362
341190,acc,0.324
363936,acc,0.326
386682,acc,0.362
409428,acc,0.322
432174,acc,0.326
454920,acc,0.326
477666,acc,0.318
500412,acc,0.316
523158,acc,0.32
545904,acc,0.318
568650,acc,0.34
591396,acc,0.328
614142,acc,0.334
636888,acc,0.372
659634,acc,0.358
682380,acc,0.264
705126,acc,0.356
727872,acc,0.382
750618,acc,0.336
773364,acc,0.302
796110,acc,0.298
818856,acc,0.284
841602,acc,0.376
864348,acc,0.346
887094,acc,0.37
909840,acc,0.338
932586,acc,0.358
955332,acc,0.344
978078,acc,0.35
1000824,acc,0.378
