checkpoint (in update steps),metric_name,metric
0,acc,0.322
10,acc,0.322
20,acc,0.31
40,acc,0.338
100,acc,0.338
200,acc,0.338
400,acc,0.338
800,acc,0.338
21085,acc,0.338
42170,acc,0.338
63255,acc,0.338
84340,acc,0.338
105425,acc,0.338
126510,acc,0.338
147595,acc,0.338
168680,acc,0.338
189765,acc,0.338
210850,acc,0.338
231935,acc,0.338
253020,acc,0.338
274105,acc,0.34
295190,acc,0.338
316275,acc,0.338
337360,acc,0.338
358445,acc,0.338
379530,acc,0.338
400615,acc,0.326
421700,acc,0.338
442785,acc,0.34
463870,acc,0.338
484955,acc,0.336
506040,acc,0.334
527125,acc,0.338
548210,acc,0.338
569295,acc,0.338
590380,acc,0.338
611465,acc,0.338
632550,acc,0.338
653635,acc,0.338
674720,acc,0.338
695805,acc,0.344
716890,acc,0.244
737975,acc,0.338
759060,acc,0.336
780145,acc,0.338
801230,acc,0.338
822315,acc,0.338
843400,acc,0.338
864485,acc,0.338
885570,acc,0.338
906655,acc,0.338
927740,acc,0.338
948825,acc,0.338
969910,acc,0.338
990995,acc,0.338
1012080,acc,0.338
