checkpoint (in update steps),metric_name,metric
0,acc,0.322
10,acc,0.322
20,acc,0.312
40,acc,0.356
100,acc,0.342
200,acc,0.338
400,acc,0.338
800,acc,0.338
22746,acc,0.338
45492,acc,0.338
68238,acc,0.338
90984,acc,0.346
113730,acc,0.338
136476,acc,0.338
159222,acc,0.338
181968,acc,0.338
204714,acc,0.338
227460,acc,0.338
250206,acc,0.338
272952,acc,0.338
295698,acc,0.338
318444,acc,0.338
341190,acc,0.338
363936,acc,0.338
386682,acc,0.338
409428,acc,0.338
432174,acc,0.338
454920,acc,0.338
477666,acc,0.338
500412,acc,0.338
523158,acc,0.338
545904,acc,0.338
568650,acc,0.338
591396,acc,0.338
614142,acc,0.338
636888,acc,0.338
659634,acc,0.338
682380,acc,0.338
705126,acc,0.338
727872,acc,0.338
750618,acc,0.338
773364,acc,0.338
796110,acc,0.338
818856,acc,0.338
841602,acc,0.338
864348,acc,0.338
887094,acc,0.338
909840,acc,0.338
932586,acc,0.338
955332,acc,0.338
978078,acc,0.338
1000824,acc,0.338
