checkpoint (in update steps),metric_name,metric
0,acc,0.322
10,acc,0.322
20,acc,0.314
40,acc,0.354
100,acc,0.346
200,acc,0.338
400,acc,0.338
800,acc,0.338
1000,acc,0.338
2000,acc,0.338
3000,acc,0.338
4000,acc,0.338
5000,acc,0.338
6000,acc,0.338
7000,acc,0.338
8000,acc,0.338
9000,acc,0.366
10000,acc,0.348
11000,acc,0.34
12000,acc,0.338
13000,acc,0.34
14000,acc,0.34
15000,acc,0.34
16000,acc,0.374
17000,acc,0.34
18000,acc,0.32
19000,acc,0.338
20000,acc,0.344
21000,acc,0.328
22000,acc,0.34
22437,acc,0.358
44874,acc,0.34
67311,acc,0.34
89748,acc,0.34
112185,acc,0.34
134622,acc,0.338
157059,acc,0.338
179496,acc,0.34
201933,acc,0.338
224370,acc,0.34
246807,acc,0.34
269244,acc,0.34
291681,acc,0.338
314118,acc,0.324
336555,acc,0.332
358992,acc,0.34
381429,acc,0.34
403866,acc,0.366
426303,acc,0.336
448740,acc,0.34
471177,acc,0.354
493614,acc,0.34
516051,acc,0.34
538488,acc,0.34
560925,acc,0.34
583362,acc,0.34
605799,acc,0.34
628236,acc,0.342
650673,acc,0.35
673110,acc,0.348
695547,acc,0.34
717984,acc,0.366
740421,acc,0.352
762858,acc,0.342
785295,acc,0.34
807732,acc,0.342
830169,acc,0.34
852606,acc,0.36
875043,acc,0.346
897480,acc,0.356
919917,acc,0.324
