checkpoint (in update steps),metric_name,metric
0,acc,0.49
10,acc,0.486
20,acc,0.484
40,acc,0.454
100,acc,0.448
200,acc,0.494
400,acc,0.494
800,acc,0.494
1600,acc,0.478
3200,acc,0.488
6400,acc,0.5
12800,acc,0.494
20000,acc,0.436
40000,acc,0.494
60000,acc,0.506
80000,acc,0.436
100000,acc,0.506
120000,acc,0.494
140000,acc,0.506
160000,acc,0.494
180000,acc,0.504
200000,acc,0.506
220000,acc,0.56
240000,acc,0.506
260000,acc,0.506
280000,acc,0.494
300000,acc,0.502
320000,acc,0.496
340000,acc,0.506
360000,acc,0.504
380000,acc,0.494
400000,acc,0.492
420000,acc,0.484
440000,acc,0.494
460000,acc,0.456
480000,acc,0.506
500000,acc,0.506
520000,acc,0.496
540000,acc,0.494
560000,acc,0.494
580000,acc,0.486
600000,acc,0.494
620000,acc,0.496
640000,acc,0.496
660000,acc,0.482
680000,acc,0.494
700000,acc,0.494
720000,acc,0.49
740000,acc,0.496
760000,acc,0.492
780000,acc,0.484
800000,acc,0.506
820000,acc,0.508
840000,acc,0.488
860000,acc,0.494
880000,acc,0.494
900000,acc,0.502
920000,acc,0.494
940000,acc,0.494
960000,acc,0.492
980000,acc,0.494
1000000,acc,0.494
