checkpoint (in update steps),metric_name,metric
0,acc,0.49
10,acc,0.486
20,acc,0.482
40,acc,0.458
100,acc,0.492
200,acc,0.494
400,acc,0.494
800,acc,0.506
23172,acc,0.494
46344,acc,0.48
69516,acc,0.464
92688,acc,0.506
115860,acc,0.414
139032,acc,0.494
162204,acc,0.494
185376,acc,0.488
208548,acc,0.506
231720,acc,0.506
254892,acc,0.466
278064,acc,0.494
301236,acc,0.492
324408,acc,0.494
347580,acc,0.494
370752,acc,0.494
393924,acc,0.512
417096,acc,0.494
440268,acc,0.494
463440,acc,0.494
486612,acc,0.494
509784,acc,0.494
532956,acc,0.494
556128,acc,0.494
579300,acc,0.494
602472,acc,0.494
625644,acc,0.494
648816,acc,0.494
671988,acc,0.45
695160,acc,0.494
718332,acc,0.494
741504,acc,0.474
764676,acc,0.516
787848,acc,0.494
811020,acc,0.506
834192,acc,0.492
857364,acc,0.494
880536,acc,0.484
903708,acc,0.494
926880,acc,0.468
950052,acc,0.472
973224,acc,0.472
996396,acc,0.472
1019568,acc,0.47
