checkpoint (in update steps),metric_name,metric
0,acc,0.34575569358178054
10,acc,0.36024844720496896
20,acc,0.36438923395445133
40,acc,0.2898550724637681
100,acc,0.32091097308488614
200,acc,0.3188405797101449
400,acc,0.2981366459627329
800,acc,0.32091097308488614
1600,acc,0.2939958592132505
3200,acc,0.3250517598343685
6400,acc,0.3333333333333333
12800,acc,0.34368530020703936
20000,acc,0.32919254658385094
40000,acc,0.37888198757763975
60000,acc,0.38923395445134573
66694,acc,0.3002070393374741
80000,acc,0.29606625258799174
100000,acc,0.31262939958592134
120000,acc,0.34368530020703936
133388,acc,0.33747412008281574
140000,acc,0.3064182194616977
160000,acc,0.32712215320910976
180000,acc,0.2898550724637681
200000,acc,0.28778467908902694
200082,acc,0.29606625258799174
220000,acc,0.36853002070393376
240000,acc,0.28778467908902694
260000,acc,0.3167701863354037
266776,acc,0.32091097308488614
280000,acc,0.31262939958592134
300000,acc,0.32091097308488614
320000,acc,0.2753623188405797
340000,acc,0.35610766045548653
360000,acc,0.31262939958592134
380000,acc,0.3064182194616977
400000,acc,0.37267080745341613
420000,acc,0.32091097308488614
440000,acc,0.32712215320910976
460000,acc,0.3022774327122153
480000,acc,0.29606625258799174
500000,acc,0.33540372670807456
520000,acc,0.33954451345755693
540000,acc,0.32919254658385094
560000,acc,0.33126293995859213
580000,acc,0.35196687370600416
600000,acc,0.35403726708074534
620000,acc,0.35403726708074534
640000,acc,0.3002070393374741
660000,acc,0.2732919254658385
680000,acc,0.3581780538302277
700000,acc,0.34575569358178054
720000,acc,0.33954451345755693
740000,acc,0.32712215320910976
760000,acc,0.32298136645962733
780000,acc,0.3333333333333333
800000,acc,0.2857142857142857
820000,acc,0.28778467908902694
840000,acc,0.2712215320910973
860000,acc,0.3084886128364389
880000,acc,0.32298136645962733
900000,acc,0.35196687370600416
920000,acc,0.2981366459627329
940000,acc,0.3188405797101449
960000,acc,0.37888198757763975
980000,acc,0.35196687370600416
1000000,acc,0.3250517598343685
