checkpoint (in update steps),metric_name,metric
0,acc,0.3561076604554865
10,acc,0.3602484472049689
20,acc,0.3126293995859213
40,acc,0.3064182194616977
100,acc,0.3022774327122153
200,acc,0.3519668737060041
400,acc,0.3167701863354037
800,acc,0.3312629399585921
22746,acc,0.3374741200828157
45492,acc,0.3229813664596273
68238,acc,0.3519668737060041
90984,acc,0.3561076604554865
113730,acc,0.3995859213250518
136476,acc,0.3043478260869565
159222,acc,0.3188405797101449
181968,acc,0.2877846790890269
204714,acc,0.2753623188405797
227460,acc,0.3540372670807453
250206,acc,0.3043478260869565
272952,acc,0.3002070393374741
295698,acc,0.3602484472049689
318444,acc,0.2836438923395445
341190,acc,0.3540372670807453
363936,acc,0.3519668737060041
386682,acc,0.3105590062111801
409428,acc,0.3002070393374741
432174,acc,0.2753623188405797
454920,acc,0.3146997929606625
477666,acc,0.3995859213250518
500412,acc,0.3291925465838509
523158,acc,0.3374741200828157
545904,acc,0.3126293995859213
568650,acc,0.3167701863354037
591396,acc,0.3416149068322981
614142,acc,0.3436853002070393
636888,acc,0.3250517598343685
659634,acc,0.3250517598343685
682380,acc,0.3002070393374741
705126,acc,0.3209109730848861
727872,acc,0.3188405797101449
750618,acc,0.3146997929606625
773364,acc,0.3312629399585921
796110,acc,0.3229813664596273
818856,acc,0.3271221532091097
841602,acc,0.3312629399585921
864348,acc,0.3312629399585921
887094,acc,0.3250517598343685
909840,acc,0.3416149068322981
932586,acc,0.3457556935817805
955332,acc,0.2939958592132505
978078,acc,0.3312629399585921
1000824,acc,0.3540372670807453
