checkpoint (in update steps),metric_name,metric
0,acc,0.3105590062111801
10,acc,0.2877846790890269
20,acc,0.3395445134575569
40,acc,0.2836438923395445
100,acc,0.3312629399585921
200,acc,0.2919254658385093
400,acc,0.3250517598343685
800,acc,0.3250517598343685
1000,acc,0.391304347826087
2000,acc,0.3374741200828157
3000,acc,0.2898550724637681
4000,acc,0.3064182194616977
5000,acc,0.3333333333333333
6000,acc,0.3457556935817805
7000,acc,0.2939958592132505
8000,acc,0.3105590062111801
9000,acc,0.2898550724637681
10000,acc,0.3229813664596273
11000,acc,0.2836438923395445
12000,acc,0.2608695652173913
13000,acc,0.3395445134575569
14000,acc,0.3312629399585921
15000,acc,0.3271221532091097
16000,acc,0.3354037267080745
17000,acc,0.3209109730848861
18000,acc,0.3105590062111801
19000,acc,0.3374741200828157
20000,acc,0.2732919254658385
21000,acc,0.2898550724637681
22000,acc,0.3229813664596273
22437,acc,0.3395445134575569
44874,acc,0.3229813664596273
67311,acc,0.3064182194616977
89748,acc,0.3002070393374741
112185,acc,0.3002070393374741
134622,acc,0.3436853002070393
157059,acc,0.3250517598343685
179496,acc,0.2939958592132505
201933,acc,0.2836438923395445
224370,acc,0.2815734989648033
246807,acc,0.3271221532091097
269244,acc,0.3623188405797101
291681,acc,0.3436853002070393
314118,acc,0.3354037267080745
336555,acc,0.2857142857142857
358992,acc,0.3664596273291925
381429,acc,0.3519668737060041
403866,acc,0.3146997929606625
426303,acc,0.3002070393374741
448740,acc,0.3706004140786749
471177,acc,0.3250517598343685
493614,acc,0.3478260869565217
516051,acc,0.2960662525879917
538488,acc,0.3146997929606625
560925,acc,0.3126293995859213
583362,acc,0.3064182194616977
605799,acc,0.3436853002070393
628236,acc,0.3291925465838509
650673,acc,0.2774327122153209
673110,acc,0.2919254658385093
695547,acc,0.3333333333333333
717984,acc,0.2981366459627329
740421,acc,0.2753623188405797
762858,acc,0.2877846790890269
785295,acc,0.3892339544513457
807732,acc,0.3043478260869565
830169,acc,0.3478260869565217
852606,acc,0.2981366459627329
875043,acc,0.3436853002070393
897480,acc,0.2732919254658385
919917,acc,0.3830227743271222
