checkpoint (in update steps),metric_name,metric
0,acc,0.3639398998330551
10,acc,0.3656093489148581
20,acc,0.3689482470784641
40,acc,0.3989983305509182
100,acc,0.4106844741235392
200,acc,0.2420701168614357
400,acc,0.2370617696160267
800,acc,0.2353923205342237
1600,acc,0.2587646076794658
3200,acc,0.2654424040066778
6400,acc,0.342237061769616
12800,acc,0.4023372287145242
20000,acc,0.3956594323873121
40000,acc,0.4273789649415693
60000,acc,0.4373956594323873
80000,acc,0.3939899833055091
100000,acc,0.4106844741235392
120000,acc,0.4140233722871452
140000,acc,0.4440734557595993
160000,acc,0.4023372287145242
180000,acc,0.4407345575959933
200000,acc,0.4156928213689482
220000,acc,0.4273789649415693
240000,acc,0.4540901502504174
260000,acc,0.4257095158597663
280000,acc,0.4824707846410684
300000,acc,0.4724540901502504
320000,acc,0.4707846410684474
340000,acc,0.4657762938230384
360000,acc,0.4557595993322204
380000,acc,0.5125208681135225
400000,acc,0.5058430717863105
420000,acc,0.5075125208681135
440000,acc,0.5375626043405676
460000,acc,0.5141903171953256
480000,acc,0.4757929883138564
500000,acc,0.5141903171953256
520000,acc,0.5141903171953256
540000,acc,0.5442404006677797
560000,acc,0.5208681135225376
580000,acc,0.5275459098497496
600000,acc,0.5075125208681135
620000,acc,0.4924874791318864
640000,acc,0.5141903171953256
660000,acc,0.4841402337228714
680000,acc,0.4707846410684474
700000,acc,0.4824707846410684
720000,acc,0.4691151919866444
740000,acc,0.4757929883138564
760000,acc,0.4974958263772955
780000,acc,0.5041736227045075
800000,acc,0.5108514190317195
820000,acc,0.5208681135225376
840000,acc,0.5075125208681135
860000,acc,0.4941569282136895
880000,acc,0.4891485809682804
900000,acc,0.4891485809682804
920000,acc,0.4791318864774624
940000,acc,0.4824707846410684
960000,acc,0.4858096828046744
980000,acc,0.4924874791318864
1000000,acc,0.4941569282136895
